synset_id,synset_description,synset_words,wikidata_qnode,wikidata_description,wikidata_labels,gained_votes
neoclassicist.n.01,an advocate of neoclassicism,neoclassicist,Q54111,architectural style produced by the neoclassical movement that began in the mid-18th century,"Neoclassical_architecture,Classical_Revival_architecture,neo-classical,neo-classical_architecture,Néo-classique,Neoclassical_architecture,neoclassicist,neoclassical_façade,neo-Romanesque,Nepclassical_style,Neoclassicism,Neoclasical,Neolassical,Louis_XV_style,Neoclassical_form,Spanish_neoclassical_architecture,Neo_classical,neoclassic,French_neo-classical,Classical-Revival,classical_revivalism,Neoclassical_revival_style,classical,Neoclassical_Revival,Classicist,Neoclassical_Revival_style,Neoclassical_design,Neoclassical_architects,neo-classical_building,Neoclassical_tribune,stripped_classical,French_neoclassic,Jeffersonian_Classicism,classical_revival,Neoclassical_Revival_architectural_style,strong_classical_influences,classical_Revival,Neoclassical_,modern_classicist,Neoclassical-style,neoclassical_architects,Neoclassical_Baroque,Renaissance_Revival,Neoclassical_era,Free_Classic,Classical_Revival_architecture,Academic_Classical,classic_revival,Neoclassic,Late_Neoclassical,Greco-Roman,Neoclassic_architectural,Neo-classic,Louis_XVI_style,Neo-Classical_style,neoclásic.,neo-classical_architect,Neoclassical_architectural_style,Neo_Classicism,Classical_Revivial,Classic_Revival_style,Classical,Neo-Classicism,Classically-derived,neoclassic-style,Neoclassical_Architectural_Style,Neo-Classical_Revival_architecture,Neo_Classical_Revival,neoclassical_interiors,Neoclassical_edifice,classicist_forms,Neoclassical_building,Classical_architectural_style,classically_derived,neoclassical_architectural,neo-classic_style,neo_classical,neoclassical_taste,Neoclassical_Architecture,Neo-Classical_Reviva,Noclassical,Neoclassically-inspired,neoclassicist_style,neoclassic_arch-headed_window,sculpture_in_the_Roman_manner,Greek_classical_style,Neoclassical,neo-Classic,Classicism,NeoClassical,CLASSICAL_REVIVAL,Classical__Revival,neoclassical_architecture,Newclassical,neoclassical_style_of_architecture,Neoclassical_architecture,neoclassical_manner,Neoclassical-styled,(neo-)Classicism,neoclassic_style,classicism,Neoclassicals,Neo-classicism,provincial_Neoclassical_design,Neo-classical_revivalist_style,Roman_classical_style,Classical_Revival_style,neo-Classical_revival,Classical_Revival,Neo-Classical_Revival_style,Neoclassical_buildings,classical_design,Academic_Revival,Louis_XIV-style,Classic_Renaissance_style,Neoclassic_design,Neo-Classicist,Late_Classic_Revival,neo_classical-baroque,classical-revival,neo-classical_design,neo-classical_details,Necoclassical,Neo-classical,neo-classical_style,Monumental_Neoclassical,neo-classical_architecture,late_neoclassical,Neoclassical_architectural,Neoclassically-styled,Classical_Revival-style,classical_revival_architecture,Neo-Classical,Neo_Classical,neoclasical,French_neoclassical,neo-Classical,Neoclassical_architect,late_Neo-Classicism,neo-classicist,Neo-classical_style,Grecian_style,neoclassical_architect,neo_classical_architectural,neo-classic,Neoclassical_constructions,Louis_XVI_Neoclassical_style,NeoClassicism,Neo_classic,Neoclassica;,Classical_Villa,Neoclassical_revival,classically-inspired,Neo-Classical_design,neoclassicism,classicist,Neocalssiacl,Neoclassical-influenced,Neoclassical_Revval,classically-styled,Classical_styling,neoclassical_\,Classic-Revival,neoclassical_design,neoclassical_buildings,neoclassically,Neoclassical_architectural_scene,Neoclassism,Neo-Classical-styled,French_Neoclassical,Classic_Revival_architecture,Neo-Renaissance,Classical_style,neo-classical_buildings,Louis_XVth_style,classical_revival_style,neoclassical_revival,Neo-classical_architecture,neo-classical_French_style,Neo-Classical_architectural_style,Classical_design_elements,Classical_revival,neoclassical_appearance,Neoclassical_Style,Louis_XIV_Neoclassical,Neoclassic_style,Italian_classical_style,Classic_Revival,Neo-Classic,neoclasssic,neo-classicism,Andreas_Kirkerup,Classicism_style,Neo-Classical_Revival,neo-classical_revival,classical-revival_style,neoclassical_approach,Neoclassical_Revival-style,neoclassical_idiom,Classic,Neoclassisism,neoclassical_style,neo-classical,neoclassical,Louis_XVI-style_Neoclassical,neo-classic_architecture,classicistic,neoclassical_architectural_style,neoclassical_building,Greek_and_Roman_classicism,Neoclassical_Revial,Stripped_Classical,Neo-classical_Revival,Early_Classical_Revival,Neoclassical_style,Neoclassicist,High_Neoclassical,Classicism_(or_Neoclassicism),neoclásic,romantic_neoclassical,Classical_Revicval,neo-Georgian_classicism,neoclassicists,classical_style,Classic_revival,Early_Classical,Traditionalism,New_England_revival_style,Classical_building",7|8
frigg.n.01,(Norse mythology) goddess of the heavens and married love; wife of Odin,"Frigg,Frigga",Q1647325,goddess of love in Norse mythology,"Freyja,Vanadís,Vanadis,freyja,Freyja,Freyja,protagonist_of_the_song's_name,Freyja's,Frijo,Freo,ancient_Norse_goddess,Freyia,Fraujō,Frîja,Freyja's_role_as_battle_goddess,Norse_Goddess,Norse_goddess_Freyja,Fröja,''Fríða'',Freia,of_the_same_name,Freja,Freya",7|8
pholiota_squarrosa.n.01,a gilled fungus with a cap and stalk that are conspicuously scaly with upright scales; gills develop a greenish tinge with age,"Pholiota_squarrosa,scaly_pholiota",Q1574926,species of fungus,"Pholiota_squarrosa,Pholiota_squarrosa,P._squarrosa,Pholiota_squarrosa",7|8
anaplasia.n.01,"loss of structural differentiation within a cell or group of cells often with increased capacity for multiplication, as in a malignant tumor",anaplasia,Q1483951,"medical description of a continuously destructive illness; tendency of a medical condition to become progressively worse; characterization of cancer, characterized by anaplasia, invasiveness, and metastasis","malignancy,Malignancy,malignant_cells,Malignancy,malignant_progression,malignant,malignant_growth,Malignant,Cancerous,malignancies,malignancy",7|8
boundary_condition.n.01,(mathematics) a condition specified for the solution to a set of differential equations,boundary_condition,Q57275005,article,A_Poisson–Boltzmann_dynamics_method_with_nonperiodic_boundary_condition,7|8
donner_pass.n.01,a mountain pass in northeastern California near Lake Tahoe; site where in 1844 some members of an emigrant party survived by eating those who had died,Donner_Pass,Q819272,auto trail route,"Route_of_the_Lincoln_Highway,Route_of_the_Lincoln_Highway,Route_of_the_Lincoln_Highway#West_Virginia,Pony_Express_Road/Lincoln_Highway,route_of_the_Lincoln_Highway,the_original_route_and_all_of_the_subsequent_realignments,Route_of_the_Lincoln_Highway,Donner_Pass_Road,Route_of_the_Lincoln_Highway#Ohio,Route_of_the_Lincoln_Highway#Colorado,Lincoln_Highway",7|8
enterobiasis.n.01,an infestation with or a resulting infection caused by the pinworm Enterobius vermicularis; occurs especially in children,enterobiasis,Q1992236,Human worm infection,"enterobiasis,Oxyuris_vermicularis_infection_(disorder),Threadworm_infection,Pinworm_infection,Enterobius_vermicularis_infection,oxyuriasis_pidulle,oxyuriasis,Oxyuris_vermicularis_infection,Pinworm_infection,Pinworm_infection#Classification,Pinworm_infection#Pinworm_infection,Pinworm_infection",7|8
lesser_antilles.n.01,a group of islands in the southeastern West Indies,"Lesser_Antilles,Caribees",Q93259,island arc in the Caribbean Sea,"Lesser_Antilles,Caribbees,Lesser_Antilles,Lesser,Lesser_Antillean,Antillean,Antilles,smaller_islands_of_the_Caribbean,Eastern_Caribbean,lesser_Antillean,Lesser&#160;Antilles,Lesser_Antilles,Lesser_Antillean_chain,Antillian",7|8
proprietary_colony.n.01,a colony given to a proprietor to govern (in 17th century),proprietary_colony,Q3407580,type of British colony especially in North America and the Caribbean in the 17th century,"proprietary_colony,Proprietary_colony,grant,proprietors_of_the_colony,proprietary,Manor,Proprietary,proprietary_owner,Proprietary_colony,manor,proprietor,proprietary_colonies,proprietors,proprietary_rule,claimed,proprietary_rights,proprietary_colony,proprietarial,Proprietors,proprietaryship,Proprietary_charters,proprietary_grant,Proprietors_of_East_Jersey,Proprietor",7|8
launching_site.n.01,a place for launching pads,launching_site,Q1353183,facility from which rockets are launched,"launch_pad,launch_complex,launch_site,Launch_pad,pad,launch_sites,Space_Launch_Complexes,launcher,Launch_Pad,Rocket_launchers,Launch_pad,launch_site,launchpad,launch_facility,Launch_Complex,launch_pad,launch_platform",7|8
bernoulli.n.03,Swiss mathematician (1654-1705),"Bernoulli,Jakob_Bernoulli,Jacques_Bernoulli,James_Bernoulli",Q122392,Swiss mathematician,"Jacob_Bernoulli,Jacob_Bernoulli,Jacob,the_exponential_series,Jacob_I_Bernoulli,J._Bernoulli,Jakob,Bernoulli,_Jacob,Jacob_Bernoulli,Bernoulli",7|8
soil_bank.n.01,land retired from crop cultivation and planted with soil-building crops; government subsidies are paid to farmers for their retired land,soil_bank,Q51518623,"[Washington, D.C.] :U.S. Dept. of Agriculture, Office of Information,1957. | U.S. Department of Agriculture, National Agricultural Library View Book",The_place_of_trees_in_America's_agricultural_soil_bank_program,7|8
currycomb.n.01,a square comb with rows of small teeth; used to curry horses,currycomb,Q2167736,heraldic figure,currycomb,7|8
soil_profile.n.01,a vertical section of soil from the ground surface to the parent rock,soil_profile,Q878214,soil layer whose physical characteristics differ from the layers above and beneath,"soil_horizon,Soil_horizon,A_and_E_horizons,microaggregates,layers,epipedon,Soil_horizon#O_horizon,layers_of_soil,Horizonation,horizon,A_Horizon,soil_profile,horizons,Soil_horizon#A_horizon,soil__horizon,subsoil_minerals,Soil_Profile,soil_layers,\,soil_horizon,diagnostic_horizons,kandic,Soil_horizon#B_horizon,horizonation,Soil_horizon#E_horizon,B_horizon,histic_surface_horizon,illuvial,organic_horizon,Horizon,diagnostic_subsurface_horizon,Soil_horizon#R_horizon,E_horizon,Soil_horizon,A_horizon",7|8
viscometry.n.01,the measurement of viscosity,"viscometry,viscosimetry",Q868743,measuring instrument,"viscometer,Viscometer,Ostwald_viscometer,Engler_viscometer.,Stabinger_viscometer,cone_and_plate_viscometer,viscosimetry,Viscometry,Stormer_viscometer,Viscometer#U-tube_viscometers,Viscometer,falling_sphere_viscometer,viscometer,Viscometer#Stabinger_viscometer",7|8
perigee.n.01,periapsis in Earth orbit; the point in its orbit where a satellite is nearest to the Earth,perigee,Q1349468,closest point in an orbit around the Earth,perigee,7|8
gothic_romancer.n.01,a writer of Gothic romances,Gothic_romancer,Q972957,"gothic, romance and mystery writer","Patricia_Matthews,Denise_Matthews,Laura_Wylie,P.A._Brisco,Pat_A._Brisco,Pat_Brisco,Patricia_Ernst,Patty_Brisco,Patricia_(Anne_Klein,_née_Ernst)_Brisco_Matthews,Patricia_Matthews,Patricia_Matthews,Patricia_Mathews",7|8
emitter.n.01,the electrode in a transistor where electrons originate,emitter,Q57160668,article,Journey_to_world_top_emitter:_An_analysis_of_the_driving_forces_of_China's_recent_CO2emissions_surge,7|8
vivarium.n.01,an indoor enclosure for keeping and raising living animals and plants and observing them under natural conditions,vivarium,Q315630,area for keeping and raising animals or plants,"vivarium,Vivarium,vivarium,vivary,orchidarium,terrarium,vivaria,terrarists,terraria,terrariums,Vivarium,paludarium",7|8
nail_polish.n.01,a cosmetic lacquer that dries quickly and that is applied to the nails to color them or make them shiny,"nail_polish,nail_enamel,nail_varnish",Q223807,substance applied to the nails of the hands or feet,"nail_polish,nail_varnish,Nail_polish,Nail_polish,fingernail_polish,lacquers,polish,gel_nail_polish,nail_lacquer,red_polish,nail_polish,nail_polish_remover,painted,Nail_polish#Nail_polish_remover,toenail_polish",7|8
doorjamb.n.01,a jamb for a door,"doorjamb,doorpost",Q2743417,vertical structure of a door frame,"door_jamb,door_post,doorpost,Jamb,Jamb,jambs,door_jambs,jamb",7|8
ulcerative.a.01,of or relating to or characterized by ulceration,ulcerative,Q1477,inflammatory bowel disease that causes ulcers in the colon,"ulcerative_colitis,Left-sided_ulcerative_colitis,hemorrhagic_colitis,Ulcerative_Colitis,Colitis_Ulcerative,Ulcerative_colitis,Ulcerative_colitis_(UC),Ulcerative_colitis,ulcers,colitis,ulcers_from_his_colon,ulcerative_colitis",7|8
take_water.v.01,enter the water,take_water,Q5353397,"aqueduct and pipework which takes water from Powys, Wales to Birmingham, England","Elan_aqueduct,Elan_aqueduct,Elan_Valley_Aqueduct,Elan_aqueduct,aqueduct_system,Elan_Valley_reservoirs_and_aqueduct,pipeline,Elan_Aqueduct",7|8
dodoma.n.01,a city in the center of Tanzania that has been designated as the future capital,Dodoma,Q3866,city and capital of Tanzania,"Dodoma,Dodoma,Dodoma_Town,Dodoma,Dodoma_Urban_District,Dodoma#Climate",7|8
marriage_proposal.n.01,an offer of marriage,"marriage_proposal,proposal_of_marriage,marriage_offer,proposal",Q1057944,proposal of marriage,"marriage_proposal,marriage_project,popping_the_question,Marriage_proposal,girl's_hand_in_marriage,pop_the_question,proposes_marriage,Marry_me?,proposes,Marriage_proposal,marriage_proposals,proposing,proposed,proposing_marriage,propose,proposed_marriage,Proposal_(marriage),proposal,marriage_proposal",7|8
white_sweet_clover.n.01,biennial plant; valuable honey plant,"white_sweet_clover,white_melilot,Melilotus_alba",Q158596,species of plant,"Melilotus_albus,White_sweet_clover,Melilotus_albus,yellow_sweetclover,sweet_clover,Melilotus_albus,white_sweet_clover",7|8
tolazoline.n.01,vasodilator that is used to treat spasms of peripheral blood vessels (as in acrocyanosis),tolazoline,Q413772,pharmaceutical drug,"tolazoline,2-Benzyl-2-imidazoline,2-Benzyl-4,5-imidazoline,Benzazolin,2-Benzylimidazoline,4,5-Dihydro-2-(phenylmethyl)-1H-imidazole,Tolazoline,Tolazolinum,Tolazolin,Tolazolina,Tolazoline,Tolazoline,tolazoline",7|8
saw_log.n.01,log large enough to be sawed into boards,saw_log,Q505213,facility where logs are cut into timber,"sawmill,Sawmill,lumbermill,saw-milling_plant,lumber_milling,milled,lumber_mill,saw_mill,Saw_Mills,mill_pond,Wind-powered_sawmill,lumber_camp,saw-,Sawmill,sawing,lumber-milling,Saws,lumber_mills,wood_sawing,sawing_wood,saw,lumber-mill,mill,logging_mill,wood_mill,woodmill,saw_millwright,Saw_Mill,sawn,timber_mills,Saw,log_mill,timber_mill,saw_mills,mills,Mill_worker,lumber,milling,sawmill,Timber_mills,sawmills,timber_processing,lumber_production,saw_milling,Mill,cants,Sawmill#Early_history",7|8
divine_office.n.01,canonical prayers recited daily by priests (e.g. the breviary of the Roman Catholic Church),Divine_Office,Q45774,daily prayers of the Catholic Church,"Liturgy_of_the_Hours,Divine_Office,Work_of_God,Liturgy_of_the_Hours,capitula,The_Liturgy_of_the_Hours,Monastic_Office,Liturgy,choir,Liturgia_Horarum,worship,Roman_Office,Breviary,cursus,office,officia,offices,Roman_Breviary,divine_office,Liturgy_of_the_Hours_(ICEL),hour,Hours,Holy_Office,Divine_Office_or_Breviary,choir_offices,Divine_office,canonical_hours,Hours_of_the_Divine_Office,cycle_of_daily_prayers,Hour,office_of_the_hours,Sunday_Office,liturgical_office,church_Hours,Liturgy_of_the_Hours,Divine_Office,duties_of_the_monastic_state,houris,prayer_of_the_Church,Office,public_worship,divine_service,Office_of_Readings,Divine_Offices,prayer,Offices,divine_offices,hours",7|8
copenhagen.n.01,the capital and largest city of Denmark; located on the island of Zealand,"Copenhagen,Kobenhavn,Danish_capital",Q1748,capital city of Denmark,"Copenhagen,København,CPH,Köpenhamn,Kööpenhamina,Kopenhagen,Kobenhavn,Köbenhavn,Copenhagen,Metropolitan_area_of_Copenhagen,his_city_of_Copenhagen,Denmark,Kjøbenhavn,Greater_Copenhagen,Kobenhavn,København,Eastern_Copenhagen,City_of_Copenhagen,Copenhagen_1952,Capital,Copenhagen_harbour,København_C,copenhagen,Kjöpenhamn,Copenhagen,_DEN,Copenhagen,Copenhagen#Entertainment_and_performing_arts,Valby,_Copenhagen,København_Ø,nineteenth_century_Copenhagen,Copenhagen_region,Copenhagen_roads,Copenhagen_municipality,Copenhagen_area,Copenhagen_Port,Copenhagen_municipalities,Hellerup,København_K,Municipality,Copenhagen's,28,Copenhagen,_Demark,1002_København_K,Copenhagen,_Denmark",7|8
